date,pred_median,pred_hdi_low,pred_hdi_high,new_cases
2020-12-02,14043.0,0.0,45416.0,17270.0
2020-12-03,16794.0,1.0,55090.0,22046.0
2020-12-04,18425.0,2.0,60829.0,23449.0
2020-12-05,15620.0,2.0,51007.0,23318.0
2020-12-06,11003.5,0.0,35767.0,17767.0
2020-12-07,10295.5,2.0,32961.0,12332.0
2020-12-08,12980.5,0.0,42751.0,14054.0
2020-12-09,14189.0,2.0,46925.0,20815.0
2020-12-10,17005.5,0.0,56701.0,23679.0
2020-12-11,18342.5,0.0,60192.0,29875.0
2020-12-12,15714.5,0.0,52865.0,28438.0
2020-12-13,11077.5,0.0,39695.0,20200.0
2020-12-14,10309.0,0.0,37736.0,16362.0
